"","code","deck_limit","faction_code","faction_cost","flavor","illustrator","influence_limit","keywords","minimum_deck_size","pack_code","position","quantity","side_code","stripped_text","stripped_title","text","title","type_code","uniqueness","base_link","cost","memory_cost","strength","advancement_cost","agenda_points","trash_cost"
"1","00005",1,"neutral-corp",0,"The Past is the Future.","Sławomir Maniak",NA,"Megacorp",30,"draft",5,1,"corp","Draft format only. You can use agendas from all factions in this deck.","The Shadow: Pulling the Strings","Draft format only.
You can use agendas from all factions in this deck.","The Shadow: Pulling the Strings","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"2","00006",1,"neutral-runner",0,"""This war is far from over.""","Imaginary FS Pte Ltd",NA,"Natural",30,"draft",6,1,"runner","Draft format only.","The Masque: Cyber General","Draft format only.","The Masque: Cyber General","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"3","00007",1,"anarch",0,NA,"Rachel Borovic",NA,"G-mod",30,"draft",7,1,"runner","Draft format only. You must maintain the order of your heap. Whenever you trash a Corp card, if you have more anarch cards installed than any other faction, shuffle the top card of your heap into your stack.","Wyvern: Chemically Enhanced","Draft format only.
You must maintain the order of your heap.
Whenever you trash a Corp card, if you have more [anarch] cards installed than any other faction, shuffle the top card of your heap into your stack.","Wyvern: Chemically Enhanced","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"4","00008",1,"criminal",0,NA,"Clark Huggins",NA,"Cyborg",30,"draft",8,1,"runner","Draft format only. If you have more criminal cards installed than any other faction, when your turn begins, remove 1 tag.","Boris ""Syfr"" Kovac: Crafty Veteran","Draft format only.
If you have more [criminal] cards installed than any other faction, when your turn begins, remove 1 tag.","Boris ""Syfr"" Kovac: Crafty Veteran","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"5","00009",1,"shaper",0,NA,"Ralph Beisner",NA,"Natural",30,"draft",9,1,"runner","Draft format only. If you have more shaper cards installed than any other faction, when you install a card the first time each turn, draw 1 card.","Jamie ""Bzzz"" Micken: Techno Savant","Draft format only.
If you have more [shaper] cards installed than any other faction, when you install a card the first time each turn, draw 1 card.","Jamie ""Bzzz"" Micken: Techno Savant","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"6","00010",1,"haas-bioroid",0,NA,"Timothy Ben Zweifel",NA,"Division",30,"draft",10,1,"corp","Draft format only. If you have more haas-bioroid cards rezzed than any other faction, when the Runner's turn ends, shuffle 1 card in Archives into R&D.","Strategic Innovations: Future Forward","Draft format only.
If you have more [haas-bioroid] cards rezzed than any other faction, when the Runner's turn ends, shuffle 1 card in Archives into R&D.","Strategic Innovations: Future Forward","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"7","00011",1,"jinteki",0,NA,"Emilio Rodríguez",NA,"Division",30,"draft",11,1,"corp","Draft format only. If you have more jinteki cards rezzed than any other faction, when your turn begins, you may swap 2 pieces of installed ice.","Synthetic Systems: The World Re-imagined","Draft format only.
If you have more [jinteki] cards rezzed than any other faction, when your turn begins, you may swap 2 pieces of installed ice.","Synthetic Systems: The World Re-imagined","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"8","00012",1,"nbn",0,NA,"Amelie Hutt",NA,"Division",30,"draft",12,1,"corp","Draft format only. If you have more nbn cards rezzed than any other faction, whenever an agenda is scored or stolen, give the runner 1 tag.","Information Dynamics: All You Need To Know","Draft format only.
If you have more [nbn] cards rezzed than any other faction, whenever an agenda is scored or stolen, give the runner 1 tag.","Information Dynamics: All You Need To Know","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"9","00013",1,"weyland-consortium",0,NA,"Emilio Rodríguez",NA,"Division",30,"draft",13,1,"corp","Draft format only. If you have more weyland-consortium cards rezzed than any other faction, when the Runner's turn begins, place an advancement token on a piece of ice.","Fringe Applications: Tomorrow, Today","Draft format only.
If you have more [weyland-consortium] cards rezzed than any other faction, when the Runner's turn begins, place an advancement token on a piece of ice.","Fringe Applications: Tomorrow, Today","identity",FALSE,NA,NA,NA,NA,NA,NA,NA
"10","01001",1,"anarch",0,"""Watch this. It'll be funny.""","Ralph Beisner",15,"G-mod",45,"core",1,1,"runner","Whenever you install a virus program, the Corp trashes the top card of R&D.","Noise: Hacker Extraordinaire","Whenever you install a <strong>virus</strong> program, the Corp trashes the top card of R&D.","Noise: Hacker Extraordinaire","identity",FALSE,0,NA,NA,NA,NA,NA,NA
"11","01002",3,"anarch",2,"Anything worth doing is worth doing twice.","Tim Durning",NA,NA,NA,"core",2,2,"runner","Add 1 card (or up to 2 virus cards) from your heap to your grip.","Deja Vu","Add 1 card (or up to 2 <strong>virus</strong> cards) from your heap to your grip.","Déjà Vu","event",FALSE,NA,2,NA,NA,NA,NA,NA
"12","01003",3,"anarch",2,"You ever set something on fire just to watch it burn?","Anna Ignatieva",NA,"Run - Sabotage",NA,"core",3,3,"runner","Run HQ or R&D. Access -> 0 credits: Trash the card you are accessing.","Demolition Run","Run HQ or R&D.
Access → <strong>0[credit]:</strong> Trash the card you are accessing.","Demolition Run","event",FALSE,NA,2,NA,NA,NA,NA,NA
"13","01004",3,"anarch",1,NA,"Rachel Borovic",NA,"Run",NA,"core",4,3,"runner","Place 9 credits on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented.","Stimhack","Place 9[credit] on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented.","Stimhack","event",FALSE,NA,0,NA,NA,NA,NA,NA
"14","01005",3,"anarch",1,"I feel almost naked without it.","Gong Studios",NA,"Chip",NA,"core",5,3,"runner","1 recurring credit Use this credit to pay for using icebreakers or for installing virus programs.","Cyberfeeder","1[recurring-credit]
Use this credit to pay for using <strong>icebreakers</strong> or for installing <strong>virus</strong> programs.","Cyberfeeder","hardware",FALSE,NA,2,NA,NA,NA,NA,NA
"15","01006",3,"anarch",2,"""My little book of magic spells."" -The Whizzard","Jonathan Lee",NA,"Console",NA,"core",6,1,"runner","+2 mu Whenever you install a virus program, place 1 virus counter on that program. Limit 1 console per player.","Grimoire","+2[mu]
Whenever you install a <strong>virus</strong> program, place 1 virus counter on that program.
Limit 1 <strong>console</strong> per player.","Grimoire","hardware",TRUE,NA,3,NA,NA,NA,NA,NA
"16","01007",3,"anarch",2,"""If at first you don't succeed, boost its strength and try again."" -g00ru","Mike Nesbitt",NA,"Icebreaker - Fracter",NA,"core",7,2,"runner","Interface -> 1 credit: Break 1 barrier subroutine. 1 credit: +1 strength.","Corroder","Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.","Corroder","program",FALSE,NA,2,1,2,NA,NA,NA
"17","01008",3,"anarch",1,NA,"Chelsea Conlin",NA,"Virus",NA,"core",8,2,"runner","Whenever you make a successful run on a central server, place 1 virus counter on Datasucker. Hosted virus counter: Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.","Datasucker","Whenever you make a successful run on a central server, place 1 virus counter on Datasucker.
<strong>Hosted virus counter:</strong> Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.","Datasucker","program",FALSE,NA,1,1,NA,NA,NA,NA
"18","01009",3,"anarch",2,NA,"Mark Anthony Taduran",NA,"Daemon",NA,"core",9,2,"runner","Djinn can host up to 3 mu of non-icebreaker programs. The memory costs of hosted programs do not count against your memory limit. click, 1 credit: Search your stack for a virus program, reveal it, and add it to your grip. Shuffle your stack.","Djinn","Djinn can host up to 3[mu] of non-<strong>icebreaker</strong> programs.
The memory costs of hosted programs do not count against your memory limit.
[click], 1[credit]: Search your stack for a <strong>virus</strong> program, reveal it, and add it to your grip. Shuffle your stack.","Djinn","program",FALSE,NA,2,1,NA,NA,NA,NA
